producto_slug,tasa_nominal,gat_nominal,gat_real,fecha_dato,fuente,fuente_url,estado,notas,tramos
# De donde puede salir un numero que se publica: de la institucion que lo ofrece,
# de la autoridad (Banxico SIE, CNBV) o del emisor. Nada mas.
#
# `notas` es la letra pequeña **de la tasa**, y desde el 2026-08-06 se publica en
# la fila del comparador: promociones, topes de saldo, requisitos, que mide
# exactamente el numero. Nuestra contabilidad -que si un dominio devolvio 403,
# que falta verificar, que habria que revisar- NO va ahi: va en una linea de
# comentario encima de la fila. Escribir "sin verificar contra la pagina
# oficial" en 30 filas llenaba la tabla de una frase que la pastilla de
# procedencia ya dice, y enterraba las tres notas que si importaban.
#
# Por eso las filas AGREGADOR van con `notas` vacia: son contraste sin
# verificar, y cualquier cosa que escribieramos ahi seria de oidas.
#
# La columna opcional `tramos` captura tasas escalonadas por saldo con el
# formato desde-hasta:tasa;... (hasta vacio = sin techo). La tasa_nominal de la
# fila debe ser la del primer tramo, que es la titular. Ej.:
#   0-30000:13.00;30000-1000000:6.30
#
# Las filas con fuente AGREGADOR salieron de un comparador de terceros. No se
# publican nunca -el alta las rechaza si alguien intenta ponerlas VIGENTE- y
# estan aqui solo como contraste: cuando llegue la lectura oficial, su valor es
# el termino de comparacion que decide si la lectura se publica sola o pasa por
# revision humana. Cada una se retira en cuanto su lectura oficial la sustituye.
#
# Los CETES salen de las series del SIE de Banxico leidas el 2026-07-25:
# SF43936 (28d), SF43939 (91d), SF43942 (182d) y SF43945 (364d). El enlace
# apunta a la publicacion legible de la misma subasta en cetesdirecto.
cetes-28,6.18,,,2026-07-23,MANUAL,https://www.cetesdirecto.com/tablas/valores_gubernamentales/cetes.html,VIGENTE,Resultado de la subasta semanal.
cetes-91,6.49,,,2026-07-23,MANUAL,https://www.cetesdirecto.com/tablas/valores_gubernamentales/cetes.html,VIGENTE,Resultado de la subasta semanal.
cetes-182,6.75,,,2026-07-23,MANUAL,https://www.cetesdirecto.com/tablas/valores_gubernamentales/cetes.html,VIGENTE,Resultado de la subasta semanal.
cetes-364,6.93,,,2026-07-23,MANUAL,https://www.cetesdirecto.com/tablas/valores_gubernamentales/cetes.html,VIGENTE,Resultado de la subasta semanal.
# Se toma el rendimiento de 7 dias y no el diario: el diario es demasiado
# ruidoso para comparar contra plazos.
bonddia,6.42,,,2026-07-25,MANUAL,https://www.cetesdirecto.com/tablas/valores_gubernamentales/bonddia.html,VIGENTE,Rendimiento de los ultimos 7 dias publicado por cetesdirecto.
# didiglobal.com devolvio 403 a un cliente HTTP plano el 2026-07-25.
didi-vista,15.00,,,2026-07-25,AGREGADOR,https://www.tasas.mx/,PENDIENTE_REVISION,
# finsus.mx devolvio 403 el 2026-07-25.
finsus-plazo-28,7.19,,,2026-07-25,AGREGADOR,https://www.tasas.mx/,PENDIENTE_REVISION,
finsus-plazo-91,7.50,,,2026-07-25,AGREGADOR,https://www.tasas.mx/,PENDIENTE_REVISION,
finsus-plazo-182,7.89,,,2026-07-25,AGREGADOR,https://www.tasas.mx/,PENDIENTE_REVISION,
